Case ID,Activity,case:variant,LogType,elementId,processId,time:timestamp,org:resource
192,A,2,MXML.EnactmentLog,Activity_18jp21a,Process_000r8a1,08/12/2020 13:32:00,System
192,B,2,MXML.EnactmentLog,Activity_1grgump,Process_000r8a1,08/12/2020 13:32:00,Employee
192,C,2,MXML.EnactmentLog,Activity_1ibb4ue,Process_000r8a1,08/12/2020 13:32:00,Intern
192,F,2,MXML.EnactmentLog,Activity_0d4qogf,Process_000r8a1,08/12/2020 13:32:00,System
192,G,2,MXML.EnactmentLog,Activity_1mgr9rp,Process_000r8a1,08/12/2020 13:32:00,System
192,L,2,MXML.EnactmentLog,Activity_152j3g3,Process_000r8a1,08/12/2020 13:32:00,System
192,I,2,MXML.EnactmentLog,Activity_0f7p5iw,Process_000r8a1,08/12/2020 13:32:00,Intern
192,H,2,MXML.EnactmentLog,Activity_1u68ib6,Process_000r8a1,08/12/2020 13:32:00,Employee
192,M,2,MXML.EnactmentLog,Activity_03mlmln,Process_000r8a1,08/12/2020 13:32:00,Intern
192,J,2,MXML.EnactmentLog,Activity_16elua4,Process_000r8a1,08/12/2020 13:32:00,Employee
192,N,2,MXML.EnactmentLog,Activity_1rsulpv,Process_000r8a1,08/12/2020 13:32:00,Employee
192,K,2,MXML.EnactmentLog,Activity_1yptm4i,Process_000r8a1,08/12/2020 13:32:00,System
192,P,2,MXML.EnactmentLog,Activity_0hdl6y5,Process_000r8a1,08/12/2020 13:32:00,System
192,Q,2,MXML.EnactmentLog,Activity_0rtof3e,Process_000r8a1,08/12/2020 13:32:00,Employee
192,R,2,MXML.EnactmentLog,Activity_0glhznj,Process_000r8a1,08/12/2020 13:32:00,Administrator
190,A,1,MXML.EnactmentLog,Activity_18jp21a,Process_000r8a1,08/12/2020 13:31:40,System
190,B,1,MXML.EnactmentLog,Activity_1grgump,Process_000r8a1,08/12/2020 13:31:40,Employee
190,C,1,MXML.EnactmentLog,Activity_1ibb4ue,Process_000r8a1,08/12/2020 13:31:40,Intern
190,F,1,MXML.EnactmentLog,Activity_0d4qogf,Process_000r8a1,08/12/2020 13:31:40,System
190,G,1,MXML.EnactmentLog,Activity_1mgr9rp,Process_000r8a1,08/12/2020 13:31:40,System
190,L,1,MXML.EnactmentLog,Activity_152j3g3,Process_000r8a1,08/12/2020 13:31:40,System
190,I,1,MXML.EnactmentLog,Activity_0f7p5iw,Process_000r8a1,08/12/2020 13:31:40,Intern
190,H,1,MXML.EnactmentLog,Activity_1u68ib6,Process_000r8a1,08/12/2020 13:31:40,Employee
190,M,1,MXML.EnactmentLog,Activity_03mlmln,Process_000r8a1,08/12/2020 13:31:40,Intern
190,J,1,MXML.EnactmentLog,Activity_16elua4,Process_000r8a1,08/12/2020 13:31:40,Employee
190,N,1,MXML.EnactmentLog,Activity_1rsulpv,Process_000r8a1,08/12/2020 13:31:40,Employee
190,K,1,MXML.EnactmentLog,Activity_1yptm4i,Process_000r8a1,08/12/2020 13:31:40,System
190,P,1,MXML.EnactmentLog,Activity_0hdl6y5,Process_000r8a1,08/12/2020 13:31:40,System
190,Q,1,MXML.EnactmentLog,Activity_0rtof3e,Process_000r8a1,08/12/2020 13:31:40,Employee
190,T,1,MXML.EnactmentLog,Activity_1cqyhc1,Process_000r8a1,08/12/2020 13:31:40,Employee
190,U,1,MXML.EnactmentLog,Activity_0r52rsn,Process_000r8a1,08/12/2020 13:31:40,Employee
190,V,1,MXML.EnactmentLog,Activity_06nv2o6,Process_000r8a1,08/12/2020 13:31:40,System
190,X,1,MXML.EnactmentLog,Activity_0002tu8,Process_000r8a1,08/12/2020 13:31:40,System
190,Y,1,MXML.EnactmentLog,Activity_0ffbtxn,Process_000r8a1,08/12/2020 13:31:40,Employee
190,Z,1,MXML.EnactmentLog,Activity_0nrto9n,Process_000r8a1,08/12/2020 13:31:40,System
194,A,2,MXML.EnactmentLog,Activity_18jp21a,Process_000r8a1,08/12/2020 13:32:20,System
194,B,2,MXML.EnactmentLog,Activity_1grgump,Process_000r8a1,08/12/2020 13:32:20,Employee
194,C,2,MXML.EnactmentLog,Activity_1ibb4ue,Process_000r8a1,08/12/2020 13:32:20,Intern
194,F,2,MXML.EnactmentLog,Activity_0d4qogf,Process_000r8a1,08/12/2020 13:32:20,System
194,G,2,MXML.EnactmentLog,Activity_1mgr9rp,Process_000r8a1,08/12/2020 13:32:20,System
194,L,2,MXML.EnactmentLog,Activity_152j3g3,Process_000r8a1,08/12/2020 13:32:20,System
194,I,2,MXML.EnactmentLog,Activity_0f7p5iw,Process_000r8a1,08/12/2020 13:32:20,Intern
194,H,2,MXML.EnactmentLog,Activity_1u68ib6,Process_000r8a1,08/12/2020 13:32:20,Employee
194,M,2,MXML.EnactmentLog,Activity_03mlmln,Process_000r8a1,08/12/2020 13:32:20,Intern
194,J,2,MXML.EnactmentLog,Activity_16elua4,Process_000r8a1,08/12/2020 13:32:20,Employee
194,N,2,MXML.EnactmentLog,Activity_1rsulpv,Process_000r8a1,08/12/2020 13:32:20,Employee
194,K,2,MXML.EnactmentLog,Activity_1yptm4i,Process_000r8a1,08/12/2020 13:32:20,System
194,P,2,MXML.EnactmentLog,Activity_0hdl6y5,Process_000r8a1,08/12/2020 13:32:20,System
194,Q,2,MXML.EnactmentLog,Activity_0rtof3e,Process_000r8a1,08/12/2020 13:32:20,Employee
194,R,2,MXML.EnactmentLog,Activity_0glhznj,Process_000r8a1,08/12/2020 13:32:20,Administrator
198,A,2,MXML.EnactmentLog,Activity_18jp21a,Process_000r8a1,08/12/2020 13:33:00,System
198,B,2,MXML.EnactmentLog,Activity_1grgump,Process_000r8a1,08/12/2020 13:33:00,Employee
198,C,2,MXML.EnactmentLog,Activity_1ibb4ue,Process_000r8a1,08/12/2020 13:33:00,Intern
